Trait,N,PA_MAE,PA_R2,ML_MAE,ML_R2,Best_Model,Improvement_%
TPI,1709,55.8,0.924,44.99,0.946,RF,19.4
NM$,1709,66.64,0.9523,55.41,0.9628,RF,16.9
CM$,1709,69.4,0.9503,57.14,0.9616,RF,17.7
MILK,1709,224.73,0.7844,224.73,0.7844,PA,0.0
FAT,1709,8.69,0.9346,8.15,0.9412,Ridge,6.3
FAT%,1709,0.05,0.7543,0.05,0.7543,PA,0.0
PRO,1709,5.06,0.8977,4.89,0.9044,Ridge,3.2
PRO%,1709,0.02,0.6295,0.02,0.6348,Ridge,0.6
CFP,1709,11.49,0.943,10.51,0.9514,Ridge,8.5
PL,1709,0.6,0.7929,0.57,0.8066,Ridge,4.3
SCS,1709,0.06,0.6008,0.06,0.6019,Ridge,0.2
DPR,1709,0.61,0.7103,0.61,0.7103,PA,0.0
LIV,1709,0.73,0.7682,0.73,0.767,Ridge,0.1
FI,1709,0.58,0.6987,0.58,0.6958,Ridge,0.0
HCR,1709,0.62,0.633,0.62,0.6345,Ridge,0.2
CCR,1709,0.71,0.7024,0.71,0.6998,Ridge,0.0
MAST,1709,0.72,0.4968,0.72,0.4968,PA,0.0
FSAV,1709,66.52,0.8404,65.33,0.844,Ridge,1.8
PTAT,1709,0.26,0.8898,0.24,0.8986,Ridge,4.7
UDC,1709,0.22,0.8067,0.22,0.8086,Ridge,0.8
FLC,1709,0.19,0.9078,0.19,0.9097,Ridge,1.9
SCE,1709,0.15,0.7126,0.14,0.7513,Ridge,6.6
DCE,1709,0.18,0.58,0.18,0.58,PA,0.0
SSB,1709,0.16,0.7733,0.16,0.7733,PA,0.0
DSB,1709,0.32,0.6767,0.32,0.6767,PA,0.0
