trait,n,sire_weight,dam_weight,intercept,PA_MAE,PA_R2,Ridge_MAE,Ridge_R2
TPI,1709,0.5257,0.4748,24.683,55.8,0.924,47.91,0.9437
NM$,1709,0.5378,0.4952,11.0764,66.64,0.9523,57.34,0.9632
CM$,1709,0.539,0.494,11.5791,69.4,0.9503,59.49,0.9618
MILK,1709,0.5234,0.4866,11.7157,224.73,0.7844,223.43,0.7859
FAT,1709,0.5199,0.491,2.5576,8.69,0.9346,8.13,0.9424
FAT%,1709,0.5177,0.4927,0.0078,0.05,0.7543,0.05,0.7581
PRO,1709,0.5162,0.487,1.5038,5.06,0.8977,4.81,0.907
PRO%,1709,0.5122,0.4717,0.0038,0.02,0.6295,0.02,0.635
CFP,1709,0.521,0.4875,3.8846,11.49,0.943,10.5,0.9519
PL,1709,0.5268,0.5307,0.0611,0.6,0.7929,0.57,0.8087
SCS,1709,0.4477,0.5123,0.1061,0.06,0.6008,0.06,0.6084
DPR,1709,0.53,0.5324,0.0127,0.61,0.7103,0.61,0.7121
LIV,1709,0.5035,0.5473,0.1145,0.73,0.7682,0.72,0.7733
FI,1709,0.547,0.5462,-0.0062,0.58,0.6987,0.57,0.7004
HCR,1709,0.4702,0.5197,0.0093,0.62,0.633,0.62,0.632
CCR,1709,0.5395,0.5471,-0.0286,0.71,0.7024,0.71,0.7045
MAST,1709,0.5002,0.5074,0.1019,0.72,0.4968,0.72,0.4987
FSAV,1709,0.5297,0.5365,-0.7189,66.52,0.8404,65.72,0.8428
PTAT,1709,0.5617,0.5292,-0.0186,0.26,0.8898,0.25,0.8975
UDC,1709,0.5635,0.5128,-0.0323,0.22,0.8067,0.22,0.81
FLC,1709,0.5129,0.4927,0.0518,0.19,0.9078,0.19,0.9113
SCE,1709,0.421,0.5575,-0.0163,0.15,0.7126,0.14,0.7321
DCE,1709,0.4899,0.4867,0.0446,0.18,0.58,0.18,0.5765
SSB,1709,0.4475,0.5116,0.1183,0.16,0.7733,0.15,0.7792
DSB,1709,0.5121,0.4951,-0.0529,0.32,0.6767,0.32,0.6757
