Trait,N,PA_MAE,PA_RMSE,PA_R2,V3_MAE,V3_RMSE,V3_R2,V4_MAE,V4_R2,V4_Best_Model,V3_vs_PA_%,V4_vs_PA_%
TPI,1709,55.797,69.55,0.924,55.797,69.55,0.924,45.047,0.9456,RF,0.0,19.27
NM$,1709,66.643,82.541,0.9523,67.522,83.54,0.9512,54.807,0.9638,RF,-1.32,17.76
CM$,1709,69.396,85.808,0.9503,69.396,85.808,0.9503,56.547,0.963,RF,0.0,18.52
MILK,1709,224.728,281.411,0.7844,224.535,281.729,0.7839,226.495,0.7798,Ridge,0.09,-0.79
FAT,1709,8.69,10.879,0.9346,8.49,10.63,0.9376,8.131,0.9414,Ridge,2.3,6.43
FAT%,1709,0.048,0.06,0.7543,0.048,0.06,0.7543,0.048,0.7518,Ridge,0.0,-0.48
PRO,1709,5.055,6.351,0.8977,4.94,6.195,0.9027,4.895,0.9043,Ridge,2.27,3.16
PRO%,1709,0.02,0.025,0.6295,0.02,0.025,0.6295,0.02,0.6347,Ridge,0.0,0.58
CFP,1709,11.487,14.459,0.943,11.304,14.24,0.9447,10.495,0.9515,Ridge,1.6,8.64
PL,1709,0.596,0.748,0.7929,0.591,0.744,0.7952,0.571,0.806,Ridge,0.84,4.24
SCS,1709,0.062,0.078,0.6008,0.062,0.078,0.5999,0.062,0.6017,Ridge,-0.12,0.22
DPR,1709,0.609,0.768,0.7103,0.614,0.774,0.7057,0.613,0.7071,Ridge,-0.83,-0.68
LIV,1709,0.733,0.923,0.7682,0.735,0.928,0.7657,0.732,0.7674,Ridge,-0.36,0.08
FI,1709,0.58,0.734,0.6987,0.58,0.734,0.6987,0.579,0.6964,Ridge,0.0,0.22
HCR,1709,0.617,0.77,0.633,0.621,0.776,0.6271,0.615,0.6352,Ridge,-0.75,0.23
CCR,1709,0.714,0.903,0.7024,0.721,0.912,0.6959,0.713,0.7004,Ridge,-1.05,0.15
MAST,1709,0.722,0.901,0.4968,0.728,0.908,0.4889,0.724,0.4871,Ridge,-0.83,-0.25
FSAV,1709,66.519,83.802,0.8404,66.519,83.802,0.8404,65.201,0.8445,Ridge,0.0,1.98
PTAT,1709,0.257,0.32,0.8898,0.257,0.32,0.8898,0.244,0.8988,Ridge,0.0,4.87
UDC,1709,0.22,0.276,0.8067,0.221,0.277,0.8052,0.218,0.8094,Ridge,-0.35,1.23
FLC,1709,0.194,0.241,0.9078,0.192,0.24,0.9086,0.19,0.9101,Ridge,1.0,2.04
SCE,1709,0.145,0.183,0.7126,0.145,0.183,0.7126,0.136,0.7517,Ridge,0.0,6.67
DCE,1709,0.18,0.226,0.58,0.18,0.226,0.58,0.185,0.556,Ridge,0.0,-3.23
SSB,1709,0.155,0.197,0.7733,0.155,0.197,0.7733,0.156,0.7747,Ridge,0.0,-0.4
DSB,1709,0.32,0.403,0.6767,0.32,0.403,0.6767,0.325,0.6666,Ridge,0.0,-1.28
