Trait,N,N_Features,PA_MAE,PA_R2,V5_MAE,V5_R2,V5_Best,Gain_MAE_%,Gain_R2_%,Ridge_MAE,ElasticNet_MAE,RF_MAE,XGB_MAE,LGBM_MAE,Stack_MAE,Ridge_R2,ElasticNet_R2,RF_R2,XGB_R2,LGBM_R2,Stack_R2
TPI,1709,75,55.7967,0.924,36.7305,0.9588,LGBM,34.17,3.77,46.4834,46.8159,37.3256,36.8403,36.7305,65.5116,0.9463,0.946,0.958,0.9584,0.9588,0.8793
NM$,1709,75,66.6428,0.9523,47.3019,0.9713,RF,29.02,1.99,55.2368,55.6757,47.3019,47.883,47.4868,73.9567,0.9653,0.9651,0.9713,0.9701,0.9703,0.9314
CM$,1709,75,69.3958,0.9503,48.5619,0.9705,RF,30.02,2.12,57.4015,57.8229,48.5619,49.4087,49.1531,77.6301,0.9641,0.9639,0.9705,0.9694,0.9692,0.927
MILK,1709,89,224.7279,0.7844,193.3039,0.8135,LGBM,13.98,3.72,226.9492,225.8908,207.4668,199.4919,193.3039,226.0013,0.7791,0.781,0.797,0.8081,0.8135,0.771
FAT,1709,81,8.6902,0.9346,7.2392,0.9489,LGBM,16.7,1.53,8.1372,8.0558,7.5921,7.3285,7.2392,9.1096,0.9416,0.9427,0.9466,0.9482,0.9489,0.9264
FAT%,1709,73,0.0477,0.7543,0.0425,0.7836,LGBM,11.03,3.89,0.0479,0.063,0.0461,0.0433,0.0425,0.0477,0.7514,0.5806,0.7626,0.7787,0.7836,0.7514
PRO,1709,81,5.055,0.8977,4.1999,0.9185,LGBM,16.92,2.31,4.8905,4.8803,4.5369,4.2834,4.1999,5.2945,0.9039,0.9046,0.912,0.9171,0.9185,0.8852
PRO%,1709,73,0.0201,0.6295,0.0181,0.6789,LGBM,10.13,7.86,0.02,0.0333,0.0191,0.0183,0.0181,0.02,0.6333,-0.0086,0.6549,0.6731,0.6789,0.6351
CFP,1709,71,11.4871,0.943,9.2456,0.9579,LGBM,19.51,1.58,10.5612,10.4664,9.473,9.294,9.2456,11.7316,0.951,0.9521,0.9574,0.9578,0.9579,0.9388
PL,1709,86,0.5963,0.7929,0.5097,0.8284,LGBM,14.52,4.48,0.5707,0.5649,0.5465,0.513,0.5097,0.7058,0.806,0.8094,0.8128,0.8278,0.8284,0.6291
SCS,1709,80,0.0621,0.6008,0.0499,0.7042,LGBM,19.71,17.21,0.0615,0.0732,0.0565,0.0514,0.0499,0.0592,0.6095,0.4396,0.6452,0.6935,0.7042,0.6328
DPR,1709,84,0.6088,0.7103,0.5177,0.7635,LGBM,14.97,7.48,0.6139,0.6069,0.5564,0.5264,0.5177,0.6001,0.7068,0.712,0.7414,0.7574,0.7635,0.7137
LIV,1709,74,0.7325,0.7682,0.6435,0.8017,LGBM,12.15,4.36,0.7303,0.722,0.7019,0.6511,0.6435,0.7462,0.7682,0.7728,0.775,0.7969,0.8017,0.75
FI,1709,74,0.5801,0.6987,0.4905,0.7626,LGBM,15.46,9.15,0.5806,0.5769,0.5565,0.5069,0.4905,0.5677,0.6957,0.6998,0.7148,0.7494,0.7626,0.7042
HCR,1709,72,0.6167,0.633,0.509,0.7265,LGBM,17.47,14.76,0.6138,0.6165,0.5889,0.5165,0.509,0.5724,0.6354,0.6341,0.657,0.7195,0.7265,0.6758
CCR,1709,82,0.7138,0.7024,0.6173,0.7539,LGBM,13.51,7.33,0.7135,0.7087,0.6732,0.6218,0.6173,0.6933,0.6996,0.704,0.7213,0.7509,0.7539,0.7151
MAST,1709,73,0.7219,0.4968,0.5703,0.6385,LGBM,21.0,28.53,0.723,0.7169,0.6773,0.5797,0.5703,0.7509,0.4855,0.4964,0.5268,0.6232,0.6385,0.4344
FSAV,1709,73,66.5187,0.8404,56.8882,0.8669,LGBM,14.48,3.14,65.4784,65.6083,60.4501,58.6464,56.8882,65.6056,0.8433,0.8429,0.8554,0.8621,0.8669,0.8383
PTAT,1709,79,0.2569,0.8898,0.2049,0.9183,LGBM,20.26,3.21,0.2454,0.2485,0.2155,0.2051,0.2049,0.2335,0.8978,0.8959,0.9132,0.9181,0.9183,0.905
UDC,1709,81,0.2204,0.8067,0.1976,0.8302,LGBM,10.32,2.91,0.2184,0.2196,0.2066,0.201,0.1976,0.2178,0.8083,0.8057,0.8201,0.8261,0.8302,0.8064
FLC,1709,77,0.1938,0.9078,0.1682,0.9237,LGBM,13.23,1.75,0.1899,0.1926,0.1755,0.1699,0.1682,0.1898,0.91,0.9064,0.9181,0.9221,0.9237,0.9081
SCE,1709,78,0.1454,0.7126,0.1053,0.8242,LGBM,27.6,15.66,0.1354,0.1429,0.1183,0.109,0.1053,0.1329,0.7512,0.7222,0.7901,0.8161,0.8242,0.7079
DCE,1709,78,0.1795,0.58,0.1529,0.6558,LGBM,14.84,13.08,0.1851,0.1858,0.171,0.1563,0.1529,0.1761,0.556,0.5543,0.5979,0.6471,0.6558,0.5834
SSB,1709,76,0.155,0.7733,0.1297,0.8208,LGBM,16.35,6.14,0.1554,0.1594,0.1433,0.1327,0.1297,0.1572,0.7756,0.7631,0.796,0.8149,0.8208,0.7673
DSB,1709,76,0.3204,0.6767,0.2615,0.7489,LGBM,18.4,10.67,0.3264,0.3249,0.2995,0.2681,0.2615,0.3142,0.6623,0.6693,0.6964,0.7397,0.7489,0.6683
