Trait,N,PA_R2,V5_R2,V5_CDCB_R2,V5_MAE,V5_CDCB_MAE,Gain_%
NM$,1709,0.9523,0.9622,0.9642,56.0892,55.6164,0.21
MILK,1709,0.7844,0.7479,0.7485,240.7933,240.5265,0.08
FAT,1709,0.9346,0.9334,0.9328,8.7767,8.8151,-0.07
PRO,1709,0.8977,0.8902,0.8891,5.2425,5.2732,-0.12
PL,1709,0.7929,0.7781,0.778,0.6043,0.6065,-0.01
SCS,1709,0.6008,0.5512,0.5426,0.0656,0.0661,-1.55
DPR,1709,0.7103,0.6623,0.6628,0.6559,0.6535,0.08
HCR,1709,0.633,0.5748,0.5697,0.6695,0.6682,-0.88
CCR,1709,0.7024,0.6472,0.6439,0.7764,0.7802,-0.5
LIV,1709,0.7682,0.7195,0.7201,0.8056,0.8032,0.08
MAST,1709,0.4968,0.4195,0.4029,0.7687,0.776,-3.94
FSAV,1709,0.8404,0.8106,0.8102,72.0101,72.1481,-0.05
