Trait,N,Model,PA_R2,V5_R2,V8_R2,PA_MAE,V8_MAE,V8vPA_MAE_pct
TPI,1709,GBR,0.924,0.9588,0.9585,55.7967,37.1079,33.5
NM$,1709,RF,0.9523,0.9713,0.9716,66.6428,46.9174,29.6
CM$,1709,RF,0.9503,0.9705,0.9706,69.3958,48.3046,30.4
MILK,1709,GBR,0.7844,0.8135,0.8153,224.7279,193.3388,14.0
FAT,1709,GBR,0.9346,0.9489,0.9493,8.6902,7.3287,15.7
FAT%,1709,GBR,0.7543,0.7836,0.7893,0.0477,0.0425,11.0
PRO,1709,LGBM,0.8977,0.9185,0.9191,5.055,4.1774,17.4
PRO%,1709,GBR,0.6295,0.6789,0.6961,0.0201,0.0176,12.6
CFP,1709,GBR,0.943,0.9579,0.9586,11.4871,9.2438,19.5
PL,1709,LGBM,0.7929,0.8284,0.8322,0.5963,0.5017,15.9
SCS,1709,GBR,0.6008,0.7042,0.7076,0.0621,0.0499,19.7
DPR,1709,LGBM,0.7103,0.7635,0.762,0.6088,0.5191,14.7
LIV,1709,GBR,0.7682,0.8017,0.801,0.7325,0.6481,11.5
FI,1709,LGBM,0.6987,0.7626,0.7562,0.5801,0.4968,14.4
HCR,1709,GBR,0.633,0.7265,0.7234,0.6167,0.5124,16.9
CCR,1709,GBR,0.7024,0.7539,0.7541,0.7138,0.6235,12.6
MAST,1709,LGBM,0.4968,0.6385,0.6356,0.7219,0.5727,20.7
FSAV,1709,LGBM,0.8404,0.8669,0.8661,66.5187,56.8965,14.5
PTAT,1709,XGB,0.8898,0.9183,0.9196,0.2569,0.2035,20.8
UDC,1709,GBR,0.8067,0.8302,0.8297,0.2204,0.1988,9.8
FLC,1709,LGBM,0.9078,0.9237,0.9237,0.1938,0.1676,13.5
SCE,1709,GBR,0.7126,0.8242,0.8238,0.1454,0.1071,26.4
DCE,1709,LGBM,0.58,0.6558,0.6558,0.1795,0.1528,14.9
SSB,1709,LGBM,0.7733,0.8208,0.8188,0.155,0.1306,15.7
DSB,1709,LGBM,0.6767,0.7489,0.7447,0.3204,0.2629,18.0
